Timestamp,System ON,System ON Timestamps,System OFF Timestamps,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),Inverter Efficiency (%),System Load (kW),System Fault Alerts,Voltage (V),Current (A),Power Factor,Dust and Dirt Accumulation (g/m²),Battery Low Flag,Battery Full Flag,Customer Profile,User Coordinates,Solar Panels Type,Solar Panels Configuration,Depth of Discharge,Battery Capacity (Wh),Inverter Capacity (kW),Battery Technology
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 00:00,TRUE,05/09/2024 00:00,,21.02723199,0,0.23267642,0.767498454,90,0.23267642,FALSE,220,1.057620091,0.9,0.001,FALSE,FALSE,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 00:15,TRUE,05/09/2024 00:15,,21,0,0.398544298,0.709329349,90,0.398544298,FALSE,220,1.81156499,0.9,0.002,FALSE,FALSE,Residential,"10.525053,7.417249",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 00:30,TRUE,05/09/2024 00:30,,21.95423454,0,0.530610187,0.609693275,90,0.530610187,FALSE,220,2.411864485,0.9,0.003,FALSE,FALSE,Residential,"10.525053,7.417250",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 00:45,TRUE,05/09/2024 00:45,,22.69277945,0,0.41732175,0.477040728,90,0.41732175,FALSE,220,1.896917045,0.9,0.004,FALSE,FALSE,Residential,"10.525053,7.417251",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 01:00,TRUE,05/09/2024 01:00,,22.20047614,0,0.314497071,0.372710291,90,0.314497071,FALSE,220,1.429532139,0.9,0.005,TRUE,FALSE,Residential,"10.525053,7.417252",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 01:15,FALSE,,05/09/2024 01:15,21.78089491,0,0,0.294086023,90,0,FALSE,220,0,0.9,0.006,TRUE,FALSE,Residential,"10.525053,7.417253",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 01:30,FALSE,,05/09/2024 01:30,21,0,0,0.294086023,90,0,FALSE,220,0,0.9,0.007,TRUE,FALSE,Residential,"10.525053,7.417254",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 01:45,FALSE,,05/09/2024 01:45,21.88416359,0,0,0.294086023,90,0,FALSE,220,0,0.9,0.008,TRUE,FALSE,Residential,"10.525053,7.417255",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 02:00,FALSE,,05/09/2024 02:00,21,0,0,0.294086023,90,0,FALSE,220,0,0.9,0.009,TRUE,FALSE,Residential,"10.525053,7.417256",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 02:15,FALSE,,05/09/2024 02:15,21,0,0,0.294086023,90,0,FALSE,220,0,0.9,0.01,TRUE,FALSE,Residential,"10.525053,7.417257",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 02:30,FALSE,,05/09/2024 02:30,21,0,0,0.294086023,90,0,FALSE,220,0,0.9,0.011,TRUE,FALSE,Residential,"10.525053,7.417258",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 02:45,FALSE,,05/09/2024 02:45,21.63617254,0,0,0.294086023,90,0,FALSE,220,0,0.9,0.012,TRUE,FALSE,Residential,"10.525053,7.417259",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2024 03:00,FALSE,,05/09/2024 03:00,22.28304753,0,0,0.294086023,90,0,FALSE,220,0,0.9,0.013,TRUE,FALSE,Residential,"10.525053,7.417260",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
